fosco,A201
fossa,N101
fosso,N001
fóton,N001
fóvea,N101
foyer,N004
fraco,A201D096S36A41
frade,A001D026
fraga,N101
frame,N001
frank,N004+Pr
franz,N004+Pr
frase,N101
frear,V008
freio,N001
frese,A306
frete,N001
freud,N004+Pr
frevo,N001D026
frisa,N101
friso,N001
frito,A201
fromm,N306+Pr
front,N004
frota,N101
fruir,V081
fruta,N101D029
fruto,N001
fuçar,V010
fugar,V009
fugaz,A303S30
fugir,V072
fujão,A220
fulvo,A201
fumal,N007
fumar,V005
fundo,A201
funga,N101
fungo,N001
funil,N010
furão,A002
furar,V005
fúria,N101
furna,N101D029
furor,N003
furto,N001
fusão,N102
fusca,N001D038
fusco,A201
fusta,N101
fuste,N001
fútil,A311
fuzil,N010
fuzuê,N004
gabão,N220
gabar,V005
gafar,V005
gague,N101
gaiar,V005
gaita,N101D029
gajar,V005
galão,N002
galar,V005
gálea,N101
galês,A228
gales,N305+Pr
galgo,A201
galha,N101
galho,N001D026
gália,N104+Pr
gálio,N001
gamão,N002
gamar,V005
gambá,N001D008
ganês,A228
ganga,N101
ganho,A201
ganir,V007
ganja,A301
ganso,N201A01
ganzá,N001
garbo,N001
garça,A101
garfo,N001
garic,N306+Pr
garoa,N101D002
garra,A101
garro,A001
gasto,A201
gatar,V005
gates,N306+Pr
gaula,N004+Pr
gauro,N001
gauss,N004+Pr
gavar,V005
gávea,N101
gazua,N101
gebar,V005
gelar,V005
gelha,N101
gemar,V005
gêmeo,A201
gemer,V006
genal,A308
gênio,N001
genro,N001
gente,N101D029
geral,A308S39
gerar,V005
gerir,V065
germe,N001
gesso,N001
gessy,N306+Pr
gesta,N101
gesto,N001
gibão,N002
giclê,N001
gilda,N104+Pr
ginga,N101
gingo,N001
ginja,N301D029
girar,V005
gíria,A301
gizar,V005
glacê,A301
gleba,N101
glenn,N004+Pr
glide,N001
globo,N001D085
glosa,N101
glote,N101
gluma,N101
glute,N001
gnomo,N201
gnose,N101
goano,A201
godoy,N304+Pr
goela,N301
goete,N001
gofar,V005
gogol,N004+Pr
goiás,N004+Pr
goiti,N001
goiva,N101
goivo,N001
golfe,N001D026
golfo,N001D026
golpe,N001D070
gomar,V005
gombô,N001
gomes,N306+Pr
gómez,N304+Pr
gongo,N001
gônio,N001
gonzo,N001
gorar,V005
gordo,A201D081A27
gorki,N004+Pr
gorro,N201
gosma,N101
gosto,N001D026
gozar,V005
graça,N101
grace,N104+Pr
graco,N004+Pr
grada,A101
grade,N101
grado,A201
grafo,N001
grama,N301D029
grana,N101
grant,N304+Pr
grato,A201
grave,A301S03
graxo,A201
grego,A201D101
grela,N101
grelo,N001
grená,A301
greta,N101
greve,N101D029
grifo,A201
grilo,N001
grimm,N304+Pr
gripe,N101
grise,N001
grisu,N001
grito,N001D026
groom,N001
grosa,N101D029
gross,N306+Pr
grota,N101
grude,N001
gruir,V081
grumo,N001
grupo,N001D026
gruta,N101
guaiú,N001
guano,N001
guapo,A201
guará,N001
guaxe,N001
guaxo,A201
gueta,N101
guete,N001
gueto,N001
guiar,V005
guido,N004+Pr
guina,N101
guiné,N101
guita,N301
guizo,N001
gulag,N004
gurde,N101
gurpa,N306+Pr
haber,N306+Pr
hábil,A311S05
haiti,N004+Pr
hamas,N004+Pr
hanns,N004+Pr
hanói,N304+Pr
haras,N006
harém,N008
harpa,N101
hasta,N101
haste,N101
havaí,N004+Pr
haver,N003
havre,N004+Pr
haydn,N004+Pr
hegel,N304+Pr
heine,N306+Pr
helen,N104+Pr
helio,N004+Pr
hélio,N004+Pr
henri,N004+Pr
henry,N004+Pr
herma,N101
herói,N001
hertz,N006
hesse,N304+Pr
hiato,N001
hicso,A201
hidra,N101
hiena,N101
hífen,N001
hilda,N104+Pr
hilma,N104+Pr
hímen,N001
híndi,N001
hindu,A301
hinir,V007
hiper,PFX
hirto,A201
hobby,N004
holle,N306+Pr
homem,N008D134A25
honda,N304+Pr
honra,N101
horda,N101
horta,N101
horto,N001
hoste,N301
hotel,N011D005
hulha,N101
humor,N003
húmus,N006
hurra,INTERJ
iansã,N104+Pr
iaque,N001
ibero,A201
ibope,N001
ibsen,N004+Pr
ícone,N001
idade,N101
ideal,A308
idear,V008
idéia,N101
ídolo,N001
idoso,A201D081
iêmen,N004+Pr
igapó,N001
igara,N101
ígneo,A201
ignez,N104+Pr
igual,A308
ikeda,N306+Pr
ileso,A201
ilhal,N007
ilhar,V005
ilhoa,N101
ilson,N004+Pr
ilton,N004+Pr
iluso,A201
imago,N101
imida,N101
imina,N101
ímola,N104+Pr
ímpar,A303
impar,V005
ímpio,A201
impor,V101
imune,A301
inajá,N301
inajé,N001
inane,A301
inato,A201
inçar,V010
incõe,A301
indez,A303
índia,N104+Pr
índio,A201
infra,PFX
íngua,N101
input,N001
intel,N104+Pr
inter,PFX
intra,PFX
invés,N004
ínvio,A201
iodar,V005
iogue,A301
iônio,N001
ionte,N001
ipeca,N101
irado,A201
irany,N104+Pr
irene,N104+Pr
irerê,N001
iriar,V005
irite,N101
irmão,A203D071
iroso,A201D081
isaac,N004+Pr
isael,N004+Pr
iscar,V011
istmo,N001
istoé,N104+Pr
itaim,N004+Pr
ítalo,A201
itapu,N001
ítrio,N004
ivald,N004+Pr
ivana,N104+Pr
ivani,N104+Pr
ivany,N104+Pr
ivens,N004+Pr
ivete,N104+Pr
ivone,N104+Pr
jacob,N004+Pr
jacto,N001
jader,N004+Pr
jaime,N004+Pr
jairo,N004+Pr
jakob,N004+Pr
jalão,N002
jalde,A301
jales,N104+Pr
jalne,A301
jamba,N101
jambo,N001
james,N006+Pr
jamil,N004+Pr
jango,N004+Pr
jânio,N004+Pr
janis,N104+Pr
janta,N101
japão,N004+Pr
japim,N008
jarda,N101
jarra,N101D029A01
jarro,N001
jasão,N004+Pr
jaspe,N001
jataí,N301
jatar,V005
jaula,N101
jayme,N004+Pr
jazer,V048
jeans,A306
jegue,N001
jeito,N001D026
jejum,N008
jeová,N004+Pr
jequi,A301
jessé,N004+Pr
jesus,N004+Pr
jésus,N006+Pr
jimbo,N001
jimmy,N004+Pr
jinga,A301
jirau,N001
joana,N104+Pr
jobim,N004+Pr
jofre,N004+Pr
jogar,V009
johan,N304+Pr
jonas,N006+Pr
jones,N006+Pr
jongo,N001
jônio,A201
jorge,N004+Pr
jorra,N101
jorro,N001
josef,N004+Pr
josué,N004+Pr
joule,N001
jovem,A307D098S35
joyce,N104+Pr
juana,N104+Pr
judas,N006+Pr
judeu,A212
jugar,V009
juízo,N201
julho,N001
julia,N104+Pr
júlia,N104+Pr
julio,N004+Pr
júlio,N004+Pr
jumbo,N001
junco,N001
junho,N001
junta,N101
junto,A201D081
jurar,V005
juruá,N004+Pr
justo,A201D081S03
kadet,N004+Pr
kafka,N004+Pr
karen,N104+Pr
kátia,N104+Pr
kbyte,N001
kedma,N104+Pr
keith,N104+Pr
kelly,N104+Pr
kevin,N004+Pr
kibon,N306+Pr
kirsh,N004
klaus,N006+Pr
klein,N306+Pr
klink,N304+Pr
klotz,N306+Pr
kombi,N104+Pr
krach,N004
kraft,N306+Pr
kuait,N004+Pr
kyrie,N006
labéu,N001
lábia,N101
lábio,N001
labor,N003
lacan,N304+Pr
laçar,V010
lacar,V011
lacre,N001
ladro,A201
lagar,N003
lages,N004+Pr
lagoa,N101D029A01
lahey,N104+Pr
laico,A201
laivo,N001
lajão,N002
lájea,N101
lajem,N108
lalar,V005
lalau,N001
lâmia,N101
lampo,A201
lança,N101
lance,N001
lanço,N001
lange,N304+Pr
lanho,N001
lanka,N004+Pr
lanza,N306+Pr
lapão,A220
lápis,N006
lapso,A201
laquê,N001
lardo,A001
largo,A201
laroz,N003
larva,N101
lasca,N101D039
